year,month,day,pna_index_cdas
2019,11,5,-1.0591431856155396
2019,11,6,-0.5983317494392395
2019,11,7,-0.15680031478405
2019,11,8,0.01904977299273014
2019,11,9,0.038229718804359436
2019,11,10,0.07723154872655869
2019,11,11,0.24540914595127106
2019,11,12,0.44969746470451355
2019,11,13,0.3296104967594147
2019,11,14,0.35756585001945496
2019,11,15,0.4854138195514679
2019,11,16,0.7589177489280701
2019,11,17,0.8470646739006042
2019,11,18,0.5388136506080627
2019,11,19,0.4072892665863037
2019,11,20,0.7092282772064209
2019,11,21,0.6511186957359314
2019,11,22,0.5931953191757202
2019,11,23,0.3478653132915497
2019,11,24,-0.27715784311294556
2019,11,25,-0.7103380560874939
2019,11,26,-0.6950218081474304
2019,11,27,-0.6165833473205566
2019,11,28,-0.36326345801353455
2019,11,29,-0.2941758334636688
2019,11,30,-0.06781421601772308
2019,12,1,-0.12309685349464417
2019,12,2,-0.15634731948375702
2019,12,3,-0.2941201627254486
2019,12,4,-0.11489233374595642
2019,12,5,0.16945533454418182
2019,12,6,0.4505542814731598
2019,12,7,0.6871557831764221
2019,12,8,0.7927283644676208
2019,12,9,1.0335332155227661
2019,12,10,1.0210678577423096
2019,12,11,0.7169294357299805
2019,12,12,0.3262704312801361
2019,12,13,0.264855295419693
2019,12,14,0.1269431859254837
2019,12,15,-0.08675779402256012
2019,12,16,-0.19328811764717102
2019,12,17,0.029303710907697678
2019,12,18,0.015283050015568733
2019,12,19,-0.16708481311798096
2019,12,20,-0.2553989887237549
2019,12,21,-0.34860333800315857
2019,12,22,-0.41716092824935913
2019,12,23,-0.34595978260040283
2019,12,24,-0.3649744987487793
2019,12,25,-0.2999017536640167
2019,12,26,-0.16810567677021027
2019,12,27,0.06644713133573532
2019,12,28,0.46256402134895325
2019,12,29,0.6668492555618286
2019,12,30,0.6591504216194153
2019,12,31,0.6240302324295044
2020,1,1,0.46503540873527527
2020,1,2,0.3408129811286926
2020,1,3,0.1958865076303482
2020,1,4,0.1430237740278244
2020,1,5,0.10059571266174316
2020,1,6,0.15466980636119843
2020,1,7,0.1696472018957138
2020,1,8,-0.15420007705688477
2020,1,9,-0.4560961425304413
2020,1,10,-0.7224839925765991
2020,1,11,-1.029038906097412
2020,1,12,-1.5136381387710571
2020,1,13,-1.9063886404037476
2020,1,14,-1.7927626371383667
2020,1,15,-1.3669594526290894
2020,1,16,-0.9150868058204651
2020,1,17,-0.5337693095207214
2020,1,18,-0.18539270758628845
2020,1,19,0.28606486320495605
2020,1,20,0.41888684034347534
2020,1,21,0.2648131549358368
2020,1,22,0.25794774293899536
2020,1,23,0.2867029011249542
2020,1,24,0.3353281021118164
2020,1,25,0.39789408445358276
2020,1,26,0.4707539975643158
2020,1,27,0.5041770935058594
2020,1,28,0.4317106008529663
2020,1,29,0.39463409781455994
2020,1,30,0.27902883291244507
2020,1,31,0.24898691475391388
2020,2,1,0.280886709690094
2020,2,2,0.15361014008522034
2020,2,3,0.028074899688363075
2020,2,4,0.0598721019923687
2020,2,5,0.3747803866863251
2020,2,6,0.6876999139785767
2020,2,7,0.950546145439148
2020,2,8,0.6825729608535767
2020,2,9,0.1124892607331276
2020,2,10,-0.32670727372169495
2020,2,11,-0.4682786762714386
2020,2,12,-0.1795719414949417
2020,2,13,-0.007262328639626503
2020,2,14,0.17145781219005585
2020,2,15,0.22686612606048584
2020,2,16,0.11490639299154282
2020,2,17,0.11902026832103729
2020,2,18,0.09895981848239899
2020,2,19,0.07329174876213074
2020,2,20,0.15358641743659973
2020,2,21,0.1899336874485016
2020,2,22,0.1423574835062027
2020,2,23,0.23187020421028137
2020,2,24,0.6392449736595154
2020,2,25,0.9092937111854553
2020,2,26,0.8176111578941345
2020,2,27,0.43958646059036255
2020,2,28,0.2129872441291809
2020,2,29,-0.11656327545642853
2020,3,1,-0.6259802579879761
2020,3,2,-0.9449604153633118
2020,3,3,-0.9288592338562012
2020,3,4,-0.8502373099327087
2020,3,5,-0.7312511205673218
2020,3,6,-0.6589210033416748
2020,3,7,-0.5209879279136658
2020,3,8,-0.6597878336906433
2020,3,9,-0.8559305667877197
2020,3,10,-0.9650376439094543
2020,3,11,-1.0243468284606934
2020,3,12,-1.1842645406723022
2020,3,13,-1.134679913520813
2020,3,14,-0.9365037679672241
2020,3,15,-0.9577513337135315
2020,3,16,-1.1561683416366577
2020,3,17,-1.0546494722366333
2020,3,18,-0.9700477719306946
2020,3,19,-0.9660049080848694
2020,3,20,-1.0458309650421143
2020,3,21,-1.3122336864471436
2020,3,22,-1.6483687162399292
2020,3,23,-1.8573209047317505
2020,3,24,-1.793023705482483
2020,3,25,-1.8876441717147827
2020,3,26,-1.9343470335006714
2020,3,27,-1.8252828121185303
2020,3,28,-1.7365331649780273
2020,3,29,-1.5790700912475586
2020,3,30,-1.0596036911010742
2020,3,31,-0.3735813498497009
2020,4,1,0.09204302728176117
2020,4,2,0.0617494210600853
2020,4,3,-0.1485358327627182
2020,4,4,-0.502011775970459
2020,4,5,-0.323225200176239
2020,4,6,-0.3270949125289917
2020,4,7,-0.42578914761543274
2020,4,8,-0.14231954514980316
2020,4,9,-0.14267322421073914
2020,4,10,-0.23987726867198944
2020,4,11,-0.5317514538764954
2020,4,12,-0.7061946988105774
2020,4,13,-0.8499786257743835
2020,4,14,-0.9799762964248657
2020,4,15,-0.7698362469673157
2020,4,16,-0.8308092951774597
2020,4,17,-1.2580738067626953
2020,4,18,-1.3018923997879028
2020,4,19,-1.1444145441055298
2020,4,20,-0.9647798538208008
2020,4,21,-0.8402222394943237
2020,4,22,-0.8432551026344299
2020,4,23,-0.704401433467865
2020,4,24,-0.48717546463012695
2020,4,25,-0.2314005345106125
2020,4,26,-0.344142347574234
2020,4,27,-0.10582074522972107
2020,4,28,0.300663560628891
2020,4,29,0.6051657199859619
2020,4,30,0.6679384708404541
2020,5,1,0.6469268798828125
2020,5,2,0.22144663333892822
2020,5,3,-0.08986689895391464
2020,5,4,0.11711815744638443
2020,5,5,0.2686258554458618
2020,5,6,0.21576601266860962
2020,5,7,0.5322539806365967
2020,5,8,0.6563970446586609
2020,5,9,0.7827959656715393
2020,5,10,0.9110777378082275
2020,5,11,0.6604688763618469
2020,5,12,0.22312800586223602
2020,5,13,-0.2559327185153961
2020,5,14,-0.5293322205543518
2020,5,15,-0.4060586392879486
2020,5,16,-0.15255430340766907
2020,5,17,0.05693167820572853
2020,5,18,0.18945853412151337
2020,5,19,0.13642670214176178
2020,5,20,-0.08373837918043137
2020,5,21,-0.1125655323266983
2020,5,22,-0.1477426141500473
2020,5,23,-0.1415761113166809
2020,5,24,0.08810148388147354
2020,5,25,0.5507230162620544
2020,5,26,0.8358070254325867
2020,5,27,1.2077665328979492
2020,5,28,1.4797784090042114
2020,5,29,1.3027453422546387
2020,5,30,1.011931300163269
2020,5,31,0.9378483891487122
2020,6,1,0.45524677634239197
2020,6,2,0.10734104365110397
2020,6,3,-0.1541900485754013
2020,6,4,-0.2428412288427353
2020,6,5,-0.322931170463562
2020,6,6,-0.5600627660751343
2020,6,7,-0.45729750394821167
2020,6,8,-0.16151753067970276
2020,6,9,-0.35875579714775085
2020,6,10,-0.39875417947769165
2020,6,11,-0.028652526438236237
2020,6,12,0.3583252429962158
2020,6,13,0.7103717923164368
2020,6,14,0.9194744825363159
2020,6,15,0.8342471718788147
2020,6,16,0.9858134984970093
2020,6,17,1.2906603813171387
2020,6,18,1.5307552814483643
2020,6,19,1.4574052095413208
2020,6,20,1.2583606243133545
2020,6,21,1.3845072984695435
2020,6,22,1.2921814918518066
2020,6,23,0.8434364199638367
2020,6,24,0.6161166429519653
2020,6,25,1.0235872268676758
2020,6,26,0.9639031291007996
2020,6,27,0.7627160549163818
2020,6,28,0.6310603022575378
2020,6,29,0.2974129915237427
2020,6,30,0.15057145059108734
2020,7,1,0.15386377274990082
2020,7,2,0.18052782118320465
2020,7,3,-0.019193341955542564
2020,7,4,0.19424661993980408
2020,7,5,0.6614730358123779
2020,7,6,0.17126210033893585
2020,7,7,-0.45819801092147827
2020,7,8,-0.4451058506965637
2020,7,9,0.13574643433094025
2020,7,10,0.8410345911979675
2020,7,11,0.6380366086959839
2020,7,12,0.715258002281189
2020,7,13,0.6929693222045898
2020,7,14,0.677860677242279
2020,7,15,0.6850793361663818
2020,7,16,0.8431442975997925
2020,7,17,0.8335893154144287
2020,7,18,0.6739938855171204
2020,7,19,0.7287851572036743
2020,7,20,0.9120457172393799
2020,7,21,1.0937485694885254
2020,7,22,1.4119057655334473
2020,7,23,1.507790446281433
2020,7,24,1.1985108852386475
2020,7,25,0.5707310438156128
2020,7,26,0.814184308052063
2020,7,27,0.965831458568573
2020,7,28,1.1761168241500854
2020,7,29,1.0497915744781494
2020,7,30,0.8081939816474915
2020,7,31,0.9642320275306702
2020,8,1,2.0040719509124756
2020,8,2,1.5389233827590942
2020,8,3,1.8450146913528442
2020,8,4,2.4029054641723633
2020,8,5,2.222844123840332
2020,8,6,1.4710386991500854
2020,8,7,0.7368388175964355
2020,8,8,1.3350574970245361
2020,8,9,1.9247173070907593
2020,8,10,1.89327073097229
2020,8,11,1.41141676902771
2020,8,12,0.7162720561027527
2020,8,13,0.35251083970069885
2020,8,14,0.7760562896728516
2020,8,15,1.2179920673370361
2020,8,16,1.0185104608535767
2020,8,17,1.1147794723510742
2020,8,18,1.175209403038025
2020,8,19,1.266908884048462
2020,8,20,1.2338091135025024
2020,8,21,0.9855767488479614
2020,8,22,0.8217202425003052
2020,8,23,0.685691773891449
2020,8,24,0.3904172480106354
2020,8,25,0.13316361606121063
2020,8,26,0.3836999237537384
2020,8,27,1.0401991605758667
2020,8,28,1.8396629095077515
2020,8,29,2.087646722793579
2020,8,30,1.823747992515564
2020,8,31,1.2720178365707397
2020,9,1,1.2116705179214478
2020,9,2,1.0273698568344116
2020,9,3,0.5721426010131836
2020,9,4,0.3162856101989746
2020,9,5,0.3821384608745575
2020,9,6,0.2791140675544739
2020,9,7,-0.17790398001670837
2020,9,8,-0.6002563834190369
2020,9,9,-0.2794922888278961
2020,9,10,0.18269681930541992
2020,9,11,0.6449598073959351
2020,9,12,0.6813942790031433
2020,9,13,0.7028300166130066
2020,9,14,0.7468734383583069
2020,9,15,0.8955101370811462
2020,9,16,0.4502793252468109
2020,9,17,0.22458407282829285
2020,9,18,0.3646242618560791
2020,9,19,0.5518612265586853
2020,9,20,0.5987730622291565
2020,9,21,0.3391384780406952
2020,9,22,0.1623109132051468
2020,9,23,0.4039449691772461
2020,9,24,0.6659422516822815
2020,9,25,0.9690702557563782
2020,9,26,1.6941548585891724
2020,9,27,1.2433228492736816
2020,9,28,0.07662396878004074
2020,9,29,-0.6886725425720215
2020,9,30,-0.9779858589172363
2020,10,1,1.6903952360153198
2020,10,2,1.96006441116333
2020,10,3,1.509687066078186
2020,10,4,0.8779933452606201
2020,10,5,0.06041941046714783
2020,10,6,-0.9463708400726318
2020,10,7,-0.4503062963485718
2020,10,8,0.4850287139415741
2020,10,9,0.9104949235916138
2020,10,10,0.7683815360069275
2020,10,11,0.5109152793884277
2020,10,12,0.3532465994358063
2020,10,13,-0.345209538936615
2020,10,14,-1.2034204006195068
2020,10,15,-1.4228410720825195
2020,10,16,-1.333250880241394
2020,10,17,-1.0989075899124146
2020,10,18,-1.2717366218566895
2020,10,19,-1.5387382507324219
2020,10,20,-1.6006656885147095
2020,10,21,-1.3444582223892212
2020,10,22,-1.0089094638824463
2020,10,23,-0.8697847127914429
2020,10,24,-1.0072453022003174
2020,10,25,-1.091380000114441
2020,10,26,-0.7569658160209656
2020,10,27,-0.7618194818496704
2020,10,28,-0.574303925037384
2020,10,29,-0.46104156970977783
2020,10,30,-0.3448100686073303
2020,10,31,-0.2804296314716339
2020,11,1,0.05451871082186699
2020,11,2,0.5717611312866211
2020,11,3,0.4352905750274658
2020,11,4,0.12520918250083923
2020,11,5,-0.22536435723304749
2020,11,6,-0.443428635597229
2020,11,7,-0.6282644867897034
2020,11,8,-0.370744526386261
2020,11,9,-0.4293508231639862
2020,11,10,-0.3625207543373108
2020,11,11,-0.3590238094329834
2020,11,12,-0.42191019654273987
2020,11,13,-0.4083925783634186
2020,11,14,-0.26945775747299194
2020,11,15,-0.3544211685657501
2020,11,16,-0.09083063155412674
2020,11,17,0.1284445822238922
2020,11,18,0.19606953859329224
2020,11,19,0.2475602626800537
2020,11,20,0.19291287660598755
2020,11,21,0.18976297974586487
2020,11,22,0.22711054980754852
2020,11,23,0.44205009937286377
2020,11,24,0.4394853115081787
2020,11,25,0.5004516839981079
2020,11,26,0.5832139849662781
2020,11,27,0.5463794469833374
2020,11,28,0.6326209902763367
2020,11,29,0.8557060360908508
2020,11,30,1.072524070739746
2020,12,1,1.6456190347671509
2020,12,2,1.9851388931274414
2020,12,3,1.88813054561615
2020,12,4,1.7393165826797485
2020,12,5,1.7503503561019897
2020,12,6,1.9435195922851562
2020,12,7,1.8853198289871216
2020,12,8,1.370768666267395
2020,12,9,0.820199191570282
2020,12,10,0.467174768447876
2020,12,11,0.21862046420574188
2020,12,12,0.17841067910194397
2020,12,13,0.027718042954802513
2020,12,14,0.18311233818531036
2020,12,15,0.23614740371704102
2020,12,16,0.2575637996196747
2020,12,17,0.4071090817451477
2020,12,18,0.47646528482437134
2020,12,19,0.491299569606781
2020,12,20,0.5702126622200012
2020,12,21,0.7085087299346924
2020,12,22,0.8890456557273865
2020,12,23,0.9976481199264526
2020,12,24,0.9701457619667053
2020,12,25,0.7202227115631104
2020,12,26,0.4688098728656769
2020,12,27,0.47428590059280396
