,msl_row,msl_column,z_row,z_column
2008-07-31,0,0,0,4
2009-06-01,3,4,3,0
2009-06-02,3,4,3,0
2009-06-03,3,4,3,0
2009-06-04,3,4,3,0
2009-06-05,3,4,3,0
2009-06-06,3,2,3,0
2009-06-07,3,4,3,0
2009-06-08,3,4,3,0
2009-06-09,3,4,3,0
2009-06-10,2,4,3,0
2009-06-11,1,4,2,0
2009-06-12,1,3,2,0
2009-06-13,2,2,3,0
2009-06-14,3,3,3,1
2009-06-15,2,4,3,0
2009-06-16,1,4,3,0
2009-06-17,1,4,3,0
2009-06-18,1,4,2,0
2009-06-19,1,4,2,0
2009-06-20,1,4,2,0
2009-06-21,0,3,2,0
2009-06-22,0,3,1,0
2009-06-23,0,3,0,0
2009-06-24,0,2,0,0
2009-06-25,0,1,0,2
2009-06-26,0,2,0,2
2009-06-27,0,2,0,2
2009-06-28,1,2,0,3
2009-06-29,3,4,1,2
2009-06-30,3,4,3,1
2009-07-01,3,4,3,0
2009-07-02,3,4,3,0
2009-07-03,3,4,3,0
2009-07-04,3,3,3,2
2009-07-05,3,4,3,1
2009-07-06,3,4,3,1
2009-07-07,3,3,3,1
2009-07-08,2,3,3,2
2009-07-09,3,2,3,2
2009-07-10,3,3,3,2
2009-07-11,3,4,3,2
2009-07-12,3,4,3,1
2009-07-13,3,1,3,1
2009-07-14,3,0,3,2
2009-07-15,2,2,1,2
2009-07-16,3,3,2,2
2009-07-17,3,2,3,3
2009-07-18,1,2,3,3
2009-07-19,2,2,3,3
2009-07-20,3,4,3,1
2009-07-21,1,4,3,0
2009-07-22,0,4,1,1
2009-07-23,1,4,2,1
2009-07-24,3,4,3,0
2009-07-25,3,4,3,0
2009-07-26,3,4,3,0
2009-07-27,3,4,3,0
2009-07-28,3,3,3,0
2009-07-29,3,2,3,0
2009-07-30,2,1,3,0
2009-07-31,3,1,3,0
2010-06-01,0,4,0,0
2010-06-02,0,4,0,0
2010-06-03,0,4,0,0
2010-06-04,0,4,0,0
2010-06-05,0,4,0,0
2010-06-06,0,4,0,0
2010-06-07,0,4,0,0
2010-06-08,1,2,0,0
2010-06-09,1,0,0,0
2010-06-10,0,1,0,0
2010-06-11,0,1,0,0
2010-06-12,1,0,1,2
2010-06-13,3,0,3,2
2010-06-14,3,1,3,2
2010-06-15,3,1,3,2
2010-06-16,3,1,3,3
2010-06-17,3,2,3,2
2010-06-18,3,4,3,1
2010-06-19,3,4,3,0
2010-06-20,3,4,3,0
